"ID_RS","year","typ","AFSmg.l","BSB5mg.l","Camg.l","Chl.amg.l","Clmg.l","LFmS.m","Nges.Nmg.l","NH3..calc.mg.l","NH4.Nmg.l","NO2.Nmg.l","NO3.Nmg.l","O2.","O2mg.l","oPO4.Pmg.l","Pges.Pmg.l","pH.....","PO4.Pmg.l","TOCmg.l","Twa.C"
107006194,2001,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006194,2003,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006194,2009,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006194,2010,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006194,2012,"12",NA,NA,NA,NA,NA,80.3875,NA,NA,NA,NA,NA,NA,9.3125,NA,NA,7.725,NA,NA,12.825
107006196,2009,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006196,2010,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006196,2011,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006196,2012,"12",NA,NA,NA,NA,56,70.5,7.9,NA,NA,NA,6.55,NA,9.46666666666667,NA,NA,7.55,NA,NA,13.8666666666667
107006197,2009,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006197,2010,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006198,2009,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006198,2010,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006198,2012,"12",NA,NA,69.8333333333333,NA,90.8333333333333,93.8333333333333,NA,NA,0.635,0.176166666666667,3.31666666666667,NA,5.68333333333333,NA,NA,7.48333333333333,NA,NA,14.4
107006199,2009,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006199,2010,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006199,2012,"12",NA,NA,88.1666666666667,NA,72.1666666666667,85.5,NA,NA,NA,0.0851666666666667,3.25,NA,7.91666666666667,NA,NA,7.68333333333333,NA,NA,11.2833333333333
107006200,2009,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006200,2010,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006200,2012,"12",NA,NA,57.8333333333333,NA,61,62.6666666666667,NA,NA,NA,NA,2.38,NA,8.73333333333333,NA,NA,7.78333333333333,NA,NA,NA
107006201,2009,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006201,2010,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006201,2012,"12",NA,NA,NA,NA,NA,74.9416666666667,NA,NA,NA,NA,NA,NA,9.14166666666667,NA,NA,7.525,NA,NA,11.8083333333333
107006202,2009,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006202,2010,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006202,2012,"12",NA,NA,NA,NA,NA,77.575,NA,NA,NA,NA,NA,NA,9.3125,NA,NA,7.575,NA,NA,13.175
107006203,2009,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006203,2010,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006203,2012,"12",NA,NA,78.8333333333333,NA,59.3333333333333,74,NA,NA,NA,NA,5.43333333333333,NA,9.36666666666667,NA,NA,7.61666666666667,NA,NA,11.1333333333333
107006204,2009,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006204,2010,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006204,2012,"12",NA,NA,75,NA,55.5,70.1666666666667,NA,NA,NA,NA,6.41666666666667,NA,9.1,NA,NA,7.55,NA,NA,10.9666666666667
107006210,2010,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006211,2010,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006214,2001,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006218,2002,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006218,2006,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006218,2010,"18",NA,NA,139.75,NA,57.275,89,3.775,0.0012589375,0.04875,2.65,0.023125,NA,9.175,NA,0.0925,8.025,NA,8.8,11.85
107006219,2004,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006219,2005,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006219,2006,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006219,2010,"18",NA,NA,66.25,NA,37.775,60.75,3.375,0.00047611275,0.0675,2.925,0.0075,NA,9.975,NA,0.0625,7.575,NA,3.75,11.575
107006220,2004,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006220,2005,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006220,2006,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006220,2010,"18",NA,NA,136.25,NA,79.725,103.75,1.55,0.00505462175,0.73125,0.25,0.02375,NA,8.825,NA,0.14,7.575,NA,4.325,13.5
107006222,2010,"18",NA,NA,128.75,NA,27.9,81,2.45,0.00647665675,0.84,1,0.011375,NA,7.475,NA,0.3275,7.425,NA,7.475,12.35
107006224,2007,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
